pr,channel,mechanism_category_original,mechanism_category_adjudicated,changed,adjudication_reasoning,title
15137,contract_metadata,cross_representation_conversion,logic_error_pass_specific,yes,"HLS recognition/traversal bug (nested calibrated gate), not an explicit conversion between representations.",Fix HighLevelSynthesis for custom gate calibrations
15143,output_semantic,control_flow_gap,control_flow_gap,no,"Title explicitly says ""control-flow qargs"".",Fix control-flow qargs handling in BasisTranslator
15147,compilation_failure,missing_validation_or_contract_check,missing_validation_or_contract_check,no,Explicit edge case (empty circuits).,Fix schedule analysis passes with empty circuits
15258,compilation_failure,stateful_reuse_or_global_cache,stateful_reuse_or_global_cache,no,"Title explicitly says ""reuse of ... instances"".",Fix reuse of ConsolidateBlocks instances
15286,output_semantic,missing_validation_or_contract_check,missing_validation_or_contract_check,no,"""Respect Target"" -- a contract the pass was not honoring.",Respect Target when selecting a non-default UnitarySynthesis plugin
15401,output_semantic,logic_error_pass_specific,logic_error_pass_specific,no,Original catch-all call; untouched by adjudication.,Fix incorrect argument passed to generate_unroll_3q in Clifford+T transpilation
15556,compilation_failure,unchecked_numeric_edge_case,unchecked_numeric_edge_case,no,"Title explicitly says overflow (""zero-length permutation synthesis overflow"").",Fix zero-length permutation synthesis overflow
15626,compilation_failure,control_flow_gap,control_flow_gap,no,"Title names BreakLoopOp, a control-flow construct.",Fix BreakLoopOp object has no attribute blocks bug
15685,output_semantic,missing_validation_or_contract_check,missing_validation_or_contract_check,no,Tracking bug for a specific unhandled input class (plugin-generated ops) -- unhandled-case framing retained; not flipped for lack of contrary evidence from the sample.,Fix HLS qubit tracking for plugin-generated operations
15781,compilation_failure,unchecked_numeric_edge_case,unchecked_numeric_edge_case,no,"Fix targets a specific numeric/size boundary (single-qubit Clifford circuits), consistent with the category.",Fix synth_clifford_depth_lnn for single-qubit Clifford circuits
15875,compilation_failure,control_flow_gap,control_flow_gap,no,"Title explicitly names ""nested ControlFlowOp"".",Fix BasisTranslator processing of nested ControlFlowOp
15933,compilation_failure,commutation_checker_defect,commutation_checker_defect,no,Untouched by the sample; title explicitly names the qualifying pattern for this category.,Fix matrix-size validation in CommutationChecker
15943,global_phase,global_phase_bookkeeping,global_phase_bookkeeping,no,Untouched by the sample; title explicitly names the qualifying pattern for this category.,Fix TemplateOptimization dropping the global_phase on substitution
15967,circuit_quality,logic_error_pass_specific,logic_error_pass_specific,no,Original catch-all call; untouched by adjudication.,Fix stale best-DAG update in C transpiler optimization level 3
16004,compilation_failure,unchecked_numeric_edge_case,unchecked_numeric_edge_case,no,Title explicitly names a numeric boundary (32+ qubits).,Fix synth_qft_line failure for circuits with 32 or more qubits
16023,output_semantic,commutation_checker_defect,commutation_checker_defect,no,Untouched by the sample; title explicitly names the qualifying pattern for this category.,Fix commutation checking between two Pauli product measurements
16054,compilation_failure,unchecked_numeric_edge_case,logic_error_pass_specific,yes,"PyO3 refcount panic during a ParameterVector clone, not a numeric-bounds panic.",Fix ParameterVector global-phase panic in RemoveIdentityEquivalent
16075,compilation_failure,missing_validation_or_contract_check,missing_validation_or_contract_check,no,"Explicit unhandled case (""incomplete bases"").",Fix forced ConsolidateBlocks decomposition for incomplete bases
16151,compilation_failure,missing_validation_or_contract_check,missing_validation_or_contract_check,no,"KEPT missing_validation_or_contract_check: ConstrainedReschedule should have exempted barrier/directive ops but did not -- a missing-exemption/contract gap, not a generic logic error. Coder defaulted to the catch-all here; I disagree and keep the more specific call.",Fix ConstrainedReschedule barrier handling
16153,output_semantic,logic_error_pass_specific,logic_error_pass_specific,no,Original catch-all call; untouched by adjudication.,Fix cancellation of CS and CSdg in InverseCancellation
16154,compilation_failure,unchecked_numeric_edge_case,unchecked_numeric_edge_case,no,"Title explicitly says ""safe shape checking"".",Add safe shape checking to synth_cz_depth_line_mr
16163,output_semantic,logic_error_pass_specific,logic_error_pass_specific,no,Original catch-all call; untouched by adjudication.,Fix unsafe symmetric simplification of XXPlusYY in CommutativeOptimization
16201,global_phase,global_phase_bookkeeping,global_phase_bookkeeping,no,Untouched by the sample; title explicitly names the qualifying pattern for this category.,Fix excessive global-phase accumulation in UnrollForLoops
16215,global_phase,global_phase_bookkeeping,global_phase_bookkeeping,no,Untouched by the sample; title explicitly names the qualifying pattern for this category.,Preserve global phase in Commuting2qGateRouter
16237,determinism,nondeterministic_ordering,nondeterministic_ordering,no,Untouched by the sample; title explicitly names the qualifying pattern for this category.,Fix non-deterministic ConsolidateBlocks output with fixed transpiler seed
16246,compilation_failure,missing_validation_or_contract_check,missing_validation_or_contract_check,no,Explicit missing initialization.,Initialize ConstrainedReschedule.target unconditionally
16249,compilation_failure,unchecked_numeric_edge_case,unchecked_numeric_edge_case,no,"Title explicitly says ""subtraction-underflow panic"".",Fix subtraction-underflow panic in ConstrainedReschedule
16285,compilation_failure,unchecked_numeric_edge_case,unchecked_numeric_edge_case,no,"Title explicitly says ""panic on 1.0 error"".",Fix panic on 1.0 error in VF2Layout
16310,compilation_failure,missing_validation_or_contract_check,missing_validation_or_contract_check,no,"Explicit ""reject invalid input"" -- adds validation.",Reject loopback edges in CouplingMap
16337,output_semantic,commutation_checker_defect,commutation_checker_defect,no,Untouched by the sample; title explicitly names the qualifying pattern for this category.,Fix CommutationChecker for controlled rotation gates
16392,output_semantic,stateful_reuse_or_global_cache,stateful_reuse_or_global_cache,no,"Title explicitly says ""global cache"".",Fix global cache of SynthesizeRZRotations
16402,global_phase,global_phase_bookkeeping,global_phase_bookkeeping,no,Untouched by the sample; title explicitly names the qualifying pattern for this category.,Fix incorrect global phase shift for P and U1 gates in CommutativeCancellation
16409,output_semantic,commutation_checker_defect,commutation_checker_defect,no,Untouched by the sample; title explicitly names the qualifying pattern for this category.,Accept rotation gate names in CommutationChecker filters
16428,output_semantic,logic_error_pass_specific,logic_error_pass_specific,no,Original catch-all call; untouched by adjudication.,Correctly combining control modifiers in OptimizeAnnotated
16476,performance,stateful_reuse_or_global_cache,logic_error_pass_specific,yes,"Coder's notes correctly identify this as CPU-cache/branch-prediction locality (a performance-locality bug), not software-level state/cache reuse across calls -- a genuine miscall on my original part.",Fix cache and prediction misses in Target::qargs
