pr,channel_final_adjudicated,observable,mechanism_category,title
15781,compilation_failure,yes,unchecked_numeric_edge_case,Fix synth_clifford_depth_lnn for single-qubit Clifford circuits
15875,compilation_failure,yes,control_flow_gap,Fix BasisTranslator processing of nested ControlFlowOp
15933,compilation_failure,yes,commutation_checker_defect,Fix matrix-size validation in CommutationChecker
15943,global_phase,no,global_phase_bookkeeping,Fix TemplateOptimization dropping the global_phase on substitution
15967,circuit_quality,yes,logic_error_pass_specific,Fix stale best-DAG update in C transpiler optimization level 3
16004,compilation_failure,yes,unchecked_numeric_edge_case,Fix synth_qft_line failure for circuits with 32 or more qubits
16023,output_semantic,yes,commutation_checker_defect,Fix commutation checking between two Pauli product measurements
16054,compilation_failure,yes,unchecked_numeric_edge_case,Fix ParameterVector global-phase panic in RemoveIdentityEquivalent
16075,compilation_failure,yes,missing_validation_or_contract_check,Fix forced ConsolidateBlocks decomposition for incomplete bases
16151,compilation_failure,yes,missing_validation_or_contract_check,Fix ConstrainedReschedule barrier handling
16153,output_semantic,yes,logic_error_pass_specific,Fix cancellation of CS and CSdg in InverseCancellation
16154,compilation_failure,yes,unchecked_numeric_edge_case,Add safe shape checking to synth_cz_depth_line_mr
16163,output_semantic,yes,logic_error_pass_specific,Fix unsafe symmetric simplification of XXPlusYY in CommutativeOptimization
16201,global_phase,no,global_phase_bookkeeping,Fix excessive global-phase accumulation in UnrollForLoops
16215,global_phase,no,global_phase_bookkeeping,Preserve global phase in Commuting2qGateRouter
16237,determinism,no,nondeterministic_ordering,Fix non-deterministic ConsolidateBlocks output with fixed transpiler seed
16246,compilation_failure,yes,missing_validation_or_contract_check,Initialize ConstrainedReschedule.target unconditionally
16249,compilation_failure,yes,unchecked_numeric_edge_case,Fix subtraction-underflow panic in ConstrainedReschedule
16285,compilation_failure,yes,unchecked_numeric_edge_case,Fix panic on 1.0 error in VF2Layout
16310,compilation_failure,yes,missing_validation_or_contract_check,Reject loopback edges in CouplingMap
16337,output_semantic,yes,commutation_checker_defect,Fix CommutationChecker for controlled rotation gates
16392,output_semantic,yes,stateful_reuse_or_global_cache,Fix global cache of SynthesizeRZRotations
16402,global_phase,no,global_phase_bookkeeping,Fix incorrect global phase shift for P and U1 gates in CommutativeCancellation
16409,output_semantic,yes,commutation_checker_defect,Accept rotation gate names in CommutationChecker filters
16428,output_semantic,yes,logic_error_pass_specific,Correctly combining control modifiers in OptimizeAnnotated
16476,performance,yes,stateful_reuse_or_global_cache,Fix cache and prediction misses in Target::qargs
